Date,Rain,ONI,NIA,MWSS,Dam
01/01/2001,0,-0.7,38.225693,44.73,214.6
01/02/2001,0,-0.7,57.99653,45.98,214.55
01/03/2001,0,-0.7,49.119213,45.98,214.38
01/04/2001,0,-0.7,47.03472,44.69,214.18
01/05/2001,0,-0.7,42.22338,47.17,213.96
01/06/2001,0,-0.7,47.721066,45.79,213.76
01/07/2001,0,-0.7,43.880787,45.96,213.59
01/08/2001,0,-0.7,61.20949,46.88,213.41
01/09/2001,0,-0.7,46.59375,47.75,213.19
01/10/2001,0,-0.7,46.770832,47.12,212.97
01/11/2001,0,-0.7,45.55903,48.65,212.73
01/12/2001,0,-0.7,57.37847,47.06,212.51
01/13/2001,0,-0.7,46.71875,48.13,212.18
01/14/2001,0,-0.7,37.555557,46.07,211.97
01/15/2001,0,-0.7,44.644676,44.70,211.71
01/16/2001,0,-0.7,35.90972,44.48,211.46
01/17/2001,0,-0.7,39.02778,52.50,211.28
01/18/2001,0,-0.7,47.491898,48.27,211.22
01/19/2001,0,-0.7,51.917824,45.53,211.16
01/20/2001,0,-0.7,43.385418,46.89,210.98
01/21/2001,0,-0.7,43.87847,48.70,210.95
01/22/2001,0,-0.7,48.467594,47.07,210.79
01/23/2001,0,-0.7,43.07523,46.69,210.62
01/24/2001,0,-0.7,55.211807,45.87,210.42
01/25/2001,0,-0.7,52.86111,48.96,210.18
01/26/2001,0,-0.7,47.29398,45.43,210
01/27/2001,0,-0.7,44.41551,41.85,209.88
01/28/2001,0,-0.7,47.09375,45.88,209.6
01/29/2001,0,-0.7,48.71875,46.69,209.44
01/30/2001,0,-0.7,40.891205,44.45,209.2
01/31/2001,0,-0.7,33.921295,52.83,208.91
02/01/2001,0,-0.5,44.988426,51.43,208.6
02/02/2001,0,-0.5,35.601852,38.49,208.37
02/03/2001,0,-0.5,35.09028,36.21,208.17
02/04/2001,0,-0.5,33.789352,49.66,208.03
02/05/2001,0,-0.5,34.68287,37.89,207.99
02/06/2001,1,-0.5,38.78588,45.17,207.91
02/07/2001,0,-0.5,35.302082,39.61,207.74
02/08/2001,0,-0.5,42.092594,44.04,207.54
02/09/2001,0,-0.5,39.385418,44.18,207.28
02/10/2001,0,-0.5,35.913193,43.89,207.1
02/11/2001,11,-0.5,31.099537,43.81,207
02/12/2001,0,-0.5,43.243057,43.52,207.25
02/13/2001,1,-0.5,40.855324,43.34,207.23
02/14/2001,0,-0.5,41.58449,43.24,207.18
02/15/2001,0,-0.5,46.083332,45.77,207.02
02/16/2001,0,-0.5,50.251156,50.08,206.94
02/17/2001,0,-0.5,44.702545,45.34,206.82
02/18/2001,0,-0.5,38.94676,44.57,206.72
02/19/2001,3,-0.5,43.320602,39.52,206.72
02/20/2001,14,-0.5,46.39352,46.13,206.92
02/21/2001,12,-0.5,34.916668,45.71,207.69
02/22/2001,7,-0.5,60.229168,51.24,208.74
02/23/2001,0,-0.5,65.03935,39.46,208.88
02/24/2001,0,-0.5,62.921295,47.47,208.78
02/25/2001,0,-0.5,41.422455,51.98,208.51
02/26/2001,0,-0.5,45.694443,41.56,208.32
02/27/2001,0,-0.5,45.828705,41.36,208.07
02/28/2001,2,-0.5,62.02778,45.96,207.91
03/01/2001,0,-0.4,58.55787,55.09,207.78
03/02/2001,0,-0.4,37.685184,36.65,207.42
03/03/2001,0,-0.4,44.085648,48.53,207.3
03/04/2001,0,-0.4,26.29514,54.25,207.21
03/05/2001,0,-0.4,28.005787,42.80,207.14
03/06/2001,0,-0.4,33.711807,59.34,207.05
03/07/2001,0,-0.4,47.53472,50.66,206.93
03/08/2001,0,-0.4,37.453705,52.27,206.71
03/09/2001,1.4,-0.4,42.90972,56.17,206.53
03/10/2001,2,-0.4,30.371529,56.98,206.58
03/11/2001,0,-0.4,39.631943,57.39,206.79
03/12/2001,0,-0.4,42.082176,56.46,206.79
03/13/2001,0,-0.4,33.563656,50.03,206.71
03/14/2001,0,-0.4,38.476852,43.87,206.57
03/15/2001,0,-0.4,38.70023,43.64,206.47
03/16/2001,0,-0.4,49.311344,43.55,206.24
03/17/2001,0,-0.4,59.34028,42.57,206.17
03/18/2001,0,-0.4,67.263885,43.05,205.98
03/19/2001,0,-0.4,57.13426,45.34,205.76
03/20/2001,0,-0.4,46.563656,44.76,205.44
03/21/2001,0,-0.4,49.842594,45.95,205.19
03/22/2001,0,-0.4,45.84722,26.63,204.98
03/23/2001,0,-0.4,46.872684,43.65,204.66
03/24/2001,0,-0.4,51.92361,41.11,204.36
03/25/2001,0,-0.4,43.626156,43.70,204.02
03/26/2001,16,-0.4,57.44676,46.56,203.76
03/27/2001,1,-0.4,49.344906,47.00,203.56
03/28/2001,0,-0.4,54.24653,45.53,203.25
03/29/2001,1,-0.4,42.25347,46.22,202.9
03/30/2001,9,-0.4,42.429398,45.86,202.67
03/31/2001,0,-0.4,38.873844,43.68,202.42
04/01/2001,0,-0.3,43.788193,43.63,202.25
04/02/2001,0,-0.3,48.313656,44.71,203.03
04/03/2001,0,-0.3,41.988426,45.36,201.75
04/04/2001,0,-0.3,64.041664,44.85,201.45
04/05/2001,0,-0.3,47.445602,47.33,201.2
04/06/2001,0,-0.3,37.37963,46.74,200.67
04/07/2001,0,-0.3,108.364586,15.62,200.4
04/08/2001,0,-0.3,41.12153,32.99,199.99
04/09/2001,0,-0.3,42.86227,34.91,199.55
04/10/2001,0,-0.3,38.199074,59.04,199.23
04/11/2001,14,-0.3,30.136574,44.71,198.74
04/12/2001,0,-0.3,18.189816,41.06,198.49
04/13/2001,0,-0.3,13.311342,36.12,198.28
04/14/2001,0,-0.3,19.75,42.31,198.07
04/15/2001,0,-0.3,24.400463,44.02,197.78
04/16/2001,0,-0.3,18.023148,43.98,197.59
04/17/2001,0,-0.3,24.318287,43.84,197.4
04/18/2001,0,-0.3,28.337963,43.60,197.16
04/19/2001,1,-0.3,24.350695,50.45,196.92
04/20/2001,0,-0.3,19.092592,47.61,196.55
04/21/2001,0,-0.3,5.724537,51.38,196.3
04/22/2001,0,-0.3,19.289352,45.80,196.06
04/23/2001,1,-0.3,22.916666,49.14,195.73
04/24/2001,0,-0.3,18.25926,46.92,195.54
04/25/2001,0,-0.3,20.355324,47.93,195.27
04/26/2001,0,-0.3,18.126158,49.95,195
04/27/2001,0,-0.3,17.561342,49.99,194.74
04/28/2001,0,-0.3,18.722221,48.15,194.49
04/29/2001,0,-0.3,24.516203,45.06,194.24
04/30/2001,0,-0.3,15.896991,47.55,193.96
05/01/2001,0,-0.3,16.150463,47.36,193.69
05/02/2001,0,-0.3,20.19676,53.11,193.44
05/03/2001,7,-0.3,19.429398,52.66,193.16
05/04/2001,0,-0.3,18.024305,44.25,192.84
05/05/2001,0,-0.3,9.289351,45.90,192.58
05/06/2001,0,-0.3,10.243055,45.98,192.33
05/07/2001,1,-0.3,7.185185,45.89,192.06
05/08/2001,0,-0.3,5.721065,45.94,191.85
05/09/2001,0,-0.3,3.7349536,46.04,191.59
05/10/2001,46,-0.3,5.1365743,45.05,191.56
05/11/2001,33,-0.3,11.674768,39.49,191.95
05/12/2001,2,-0.3,4.046296,45.92,192.21
05/13/2001,10,-0.3,5.2303243,46.95,192.18
05/14/2001,4,-0.3,5.320602,45.54,192.09
05/15/2001,0,-0.3,6.2569447,44.68,191.99
05/16/2001,0,-0.3,9.064815,45.38,191.86
05/17/2001,3,-0.3,20.940971,44.98,191.65
05/18/2001,0,-0.3,7.023148,44.64,191.35
05/19/2001,0,-0.3,7.040509,45.27,191.134
05/20/2001,0,-0.3,5.8622684,44.68,190.918
05/21/2001,0,-0.3,6.560185,45.35,190.702
05/22/2001,0,-0.3,7.9965277,48.64,190.486
05/23/2001,0,-0.3,9.512732,39.88,190.27
05/24/2001,17,-0.3,6.9328704,39.79,190.29
05/25/2001,0,-0.3,9.575232,45.44,190.18
05/26/2001,5,-0.3,9.634259,45.97,189.98
05/27/2001,44,-0.3,6.7465277,42.70,189.88
05/28/2001,1,-0.3,19.359953,44.49,189.77
05/29/2001,1,-0.3,29.827547,44.83,189.62
05/30/2001,0,-0.3,30.68287,45.81,189.32
05/31/2001,0,-0.3,17.844908,46.90,188.89
06/01/2001,0,-0.1,22.35764,46.81,188.67
06/02/2001,0,-0.1,10.284722,46.05,188.43
06/03/2001,0,-0.1,6.521991,45.85,188.17
06/04/2001,0,-0.1,8.217592,46.02,187.94
06/05/2001,25,-0.1,7.172454,45.65,187.69
06/06/2001,6,-0.1,7.2777777,45.11,187.55
06/07/2001,21,-0.1,18.211805,46.21,187.24
06/08/2001,0,-0.1,21.828703,44.41,186.8
06/09/2001,0,-0.1,21.030092,45.27,186.36
06/10/2001,0,-0.1,20.74074,41.95,186.02
06/11/2001,49,-0.1,13.748842,42.91,185.7
06/12/2001,6,-0.1,17.50926,37.00,185.42
06/13/2001,1,-0.1,19.20139,46.66,185.12
06/14/2001,1,-0.1,18.721066,48.66,184.82
06/15/2001,0,-0.1,9.715278,49.09,184.42
06/16/2001,30,-0.1,6.8472223,42.82,184.11
06/17/2001,42,-0.1,5.390046,41.25,183.86
06/18/2001,6,-0.1,4.236111,43.47,183.84
06/19/2001,9,-0.1,2.5370371,46.09,183.74
06/20/2001,0,-0.1,3.0046296,43.37,183.52
06/21/2001,62,-0.1,13.111111,43.44,183.29
06/22/2001,45,-0.1,16.44213,31.10,183.06
06/23/2001,16,-0.1,8.277778,39.63,183.91
06/24/2001,4,-0.1,9.336805,51.20,183.93
06/25/2001,2,-0.1,7.865741,43.48,183.87
06/26/2001,4,-0.1,10.209491,43.13,183.9
06/27/2001,7,-0.1,9.658565,44.06,183.93
06/28/2001,10,-0.1,11.034722,44.77,183.88
06/29/2001,33,-0.1,22.666666,40.85,184
06/30/2001,24,-0.1,11.885417,36.29,185.08
07/01/2001,2,-0.1,7.829861,42.31,185.43
07/02/2001,1,-0.1,16.375,33.69,185.55
07/03/2001,3,-0.1,21.452547,43.15,185.53
07/04/2001,6,-0.1,15.642361,39.21,185.44
07/05/2001,26,-0.1,15.802083,19.67,185.76
07/06/2001,44,-0.1,16.87037,23.28,186.8
07/07/2001,0,-0.1,21.355324,40.49,187.4
07/08/2001,0,-0.1,12.862268,42.75,187.3
07/09/2001,33,-0.1,13.175926,42.69,187.6
07/10/2001,0,-0.1,16.675926,42.68,187.9
07/11/2001,0,-0.1,15.596065,42.47,188.02
07/12/2001,8,-0.1,16.291666,42.44,188.16
07/13/2001,1,-0.1,18.773148,42.74,188.11
07/14/2001,0,-0.1,12.040509,43.35,188
07/15/2001,0,-0.1,12.982639,44.48,187.95
07/16/2001,0,-0.1,12.954861,46.06,187.78
07/17/2001,0,-0.1,15.087963,48.99,187.72
07/18/2001,2,-0.1,13.232639,42.31,187.63
07/19/2001,56,-0.1,16.887732,30.50,187.68
07/20/2001,30,-0.1,19.774305,19.70,187.76
07/21/2001,2,-0.1,18.44213,41.81,187.98
07/22/2001,0,-0.1,17.037037,41.96,187.92
07/23/2001,9,-0.1,9.344908,34.35,187.9
